ID,性别,所在地域,年龄,学历,职业,月收入,价格,口感,新鲜程度,质量安全,品牌,原产地,平台交易安全,平台页面设计简洁易操作,平台信息真实,平台有效率的监督投诉机制,商家信誉和口碑,商家回复及时性,商家水果相关信息介绍全面,商家物流,商家售后服务到位
1,2,2,2,4,1,1,4,5,4,5,3,3,4,4,5,4,4,4,4,4,4
2,2,2,2,4,1,1,4,4,4,4,2,2,3,3,4,4,3,5,3,3,3
3,2,4,2,4,1,1,4,4,4,4,3,3,4,2,4,4,4,3,4,4,4
4,2,4,2,4,1,1,4,4,5,5,4,4,4,4,5,4,5,5,5,5,5
5,2,2,2,4,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
6,2,2,2,4,1,2,5,4,4,4,1,1,4,3,4,4,4,4,4,4,4
7,2,4,2,4,1,1,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4
8,2,4,2,4,1,1,3,4,4,5,3,3,4,4,4,4,4,4,4,4,4
9,2,3,2,4,1,1,5,4,5,5,2,2,3,3,3,3,3,3,3,4,4
10,1,4,2,4,1,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4
11,2,3,2,4,1,1,4,3,4,3,4,3,4,3,3,3,4,4,3,3,4
12,1,3,2,4,1,1,4,3,4,4,3,2,4,4,3,4,4,5,5,4,5
13,1,1,2,4,4,2,2,5,5,5,3,3,5,5,5,5,5,4,5,5,4
14,2,1,2,4,1,1,5,4,5,5,2,2,3,3,4,4,4,3,3,5,5
15,2,2,2,4,1,1,4,5,5,4,3,2,3,4,4,3,5,5,5,5,5
16,2,2,2,4,1,2,4,3,3,4,3,3,3,3,4,3,4,3,4,3,3
17,2,2,2,4,1,1,4,4,4,4,3,3,4,3,4,4,4,5,4,4,4
18,2,4,2,2,6,2,3,4,4,4,3,3,4,4,4,3,4,3,3,4,4
19,2,4,1,2,1,1,3,4,5,5,3,3,5,5,5,3,5,5,5,4,5
20,1,3,2,2,1,1,4,4,5,5,3,3,4,3,3,4,4,4,4,4,4
21,1,3,2,4,1,1,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5
22,2,2,2,4,1,1,4,5,5,5,2,3,4,4,4,4,4,4,4,4,4
23,1,1,2,4,1,1,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
24,2,4,2,4,1,1,5,5,5,5,1,1,5,5,3,3,5,5,5,5,5
25,2,4,2,4,1,1,4,5,5,4,2,2,4,4,4,4,4,4,4,3,3
26,2,4,2,4,1,1,5,5,4,5,3,4,4,4,4,4,4,4,4,4,4
27,1,4,2,4,1,1,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3
28,2,2,1,2,1,1,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4
29,1,4,2,4,1,1,4,5,5,5,4,1,5,3,5,3,5,5,5,5,5
30,2,3,2,4,1,1,4,5,5,5,3,3,4,3,4,4,5,5,4,5,5
31,2,3,2,3,1,1,4,5,5,4,3,5,5,3,4,5,4,5,4,5,3
32,2,1,3,4,2,5,3,4,5,5,3,3,5,3,3,5,5,5,5,5,5
33,1,4,2,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
34,1,2,4,3,2,4,5,5,5,5,2,4,5,4,5,4,5,5,5,5,4
35,2,1,2,4,1,1,5,4,5,5,3,3,5,3,5,5,3,4,5,5,4
36,1,2,3,4,2,5,4,5,5,4,2,2,4,5,4,5,4,5,4,5,5
37,2,1,2,3,1,1,4,5,5,5,3,3,4,5,4,5,5,5,4,4,4
38,2,2,3,4,2,4,3,5,4,5,5,4,5,4,5,5,5,5,4,4,5
39,2,4,2,4,1,1,4,3,4,5,4,3,4,4,3,4,3,3,4,5,5
40,2,1,3,4,2,5,3,5,5,5,3,4,4,4,4,5,3,3,4,5,3
41,2,1,2,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
42,2,2,3,3,4,3,4,5,5,5,4,4,4,5,5,5,4,4,5,5,4
43,2,2,1,3,3,4,1,2,3,4,3,5,1,2,3,5,2,2,4,4,2
44,1,1,2,4,2,4,4,4,4,5,3,4,4,3,4,4,5,5,5,5,5
45,1,1,2,4,1,1,4,5,5,4,3,3,4,4,5,4,5,5,4,5,4
46,1,2,2,2,2,2,5,3,4,2,3,2,2,3,2,5,5,2,3,3,1
47,1,1,2,2,4,3,4,5,4,4,4,4,3,5,4,5,4,3,5,4,5
48,1,2,2,4,4,3,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5
49,2,3,3,2,4,3,4,5,5,5,2,3,4,4,5,4,5,5,5,5,4
50,2,1,2,4,1,2,3,5,4,5,3,4,3,4,3,4,4,5,3,5,4
51,1,1,2,3,2,2,3,3,5,5,4,5,4,4,4,4,4,3,4,4,3
52,1,2,3,4,4,3,4,3,3,2,2,3,4,3,3,4,3,3,4,2,4
53,2,4,2,4,4,4,5,3,4,5,3,4,5,2,4,4,3,4,5,4,5
54,2,2,2,3,1,1,4,4,5,5,3,4,4,5,5,4,3,4,3,4,3
55,2,1,2,4,2,2,4,5,5,4,3,4,4,3,4,5,4,3,4,5,4
56,2,1,3,4,3,4,3,4,5,4,4,5,4,5,5,4,5,3,4,4,4
57,1,2,2,4,2,3,4,4,4,5,2,3,4,3,4,3,4,4,4,5,5
58,2,1,2,4,1,1,4,5,5,4,5,4,4,5,4,4,5,5,4,4,5
59,2,1,4,4,2,2,4,4,5,5,3,3,5,3,4,5,4,4,4,5,5
60,1,3,3,3,4,3,4,4,4,5,3,4,4,4,5,4,5,5,5,3,5
61,2,1,2,4,1,1,4,5,5,5,4,5,5,4,5,4,5,5,5,5,4
