country,year,gdp,tz,hl
Armenia,2024,10127165900000.0,2196856000000.0,121.793517349331
Australia,2024,2672659000000.0,648576000000.0,92.0319748788965
Austria,2024,481940022000.0,117269096000.0,107.593394544227
"Bahamas, The",2024,15832800000.0,4076900000.0,96.214353248673
Belgium,2024,613983900000.0,149800400000.0,103.637009340142
Brazil,2024,11744710041800.0,2000465464600.0,60.6692706636795
Bulgaria,2024,202861481000.0,36382972000.0,117.703746051266
Cameroon,2024,31121742408153.4,6653645351593.88,108.786424458283
Canada,2024,3069082000000.0,695487000000.0,80.4955506343967
Central African Republic,2024,1668386081094.0,257081000000.0,128.00902645864
Chile,2024,311630878498600.0,73200071804100.0,84.1297123615315
Colombia,2024,1705322000000000.0,281698000000000.0,74.5649794204224
"Congo, Dem. Rep.",2024,199717178093600.0,65786066992500.0,127.538598212195
Costa Rica,2024,49115934742634.9,7772854029620.47,119.044554737735
Cote d'Ivoire,2024,52472160345000.0,12846478812100.0,99.3761523494868
Croatia,2024,85482435900.0,20227976700.0,98.1172361880421
Cyprus,2024,33567716000.0,6887155000.0,88.0592176837295
Czechia,2024,8010659000000.0,2096104000000.0,120.251278234352
Denmark,2024,2960885871000.0,657604708000.0,94.167627403504
Dominican Republic,2024,7402888491000.0,1933715325400.0,85.7589321083945
Equatorial Guinea,2024,7740469269800.0,702200904800.0,102.289932715546
Finland,2024,277015000000.0,59450000000.0,98.6045031880887
France,2024,2921411800000.0,652086200000.0,91.9318767195415
Gabon,2024,12652634579900.0,2292192601100.0,100.825965481495
"Gambia, The",2024,168109453950.0,65537784720.0,103.689516910507
Georgia,2024,91891775200.0,20261537300.0,111.82115104926
Germany,2024,4305260000000.0,897950000000.0,97.419635276267
Ghana,2024,1176219900600.0,115227411700.0,67.8280805976654
Greece,2024,237573403000.0,36289760000.0,87.3114672337197
Hungary,2024,81514214000000.0,19056808000000.0,93.1553374753441
Iceland,2024,4616462933000.0,1219319543000.0,137.742648928128
"Iran, Islamic Rep.",2024,1.97859586886975e+17,5.28930721771243e+16,625.262267226382
Ireland,2024,533444100000.0,91709400000.0,88.7945531980462
Israel,2024,1999254213000.0,453640665000.0,106.308093232407
Italy,2024,2192181600000.0,481489200000.0,94.9725852252955
Latvia,2024,40208388000.0,9288718000.0,115.545074807321
Luxembourg,2024,86104038000.0,12344453000.0,98.5223058148349
Malaysia,2024,1931124522000.0,396967783000.0,80.9416621208594
Malta,2024,22470858685.0,4028489902.0,92.4352374116237
Mexico,2024,33913829328000.0,8195255475000.0,100.21138640403
Moldova,2024,323816824400.0,64716404000.0,180.225983390823
Morocco,2024,1535357291000.0,401433005300.0,101.048550902593
Netherlands,2024,1134115000000.0,223797000000.0,104.569348330242
Nicaragua,2024,721278340400.0,165277176400.0,100.942062793668
Norway,2024,5198054000000.0,1136730000000.0,73.6441021516098
Pakistan,2024,105615572018026.0,11856394248000.0,102.482842165633
Paraguay,2024,336114382398100.0,70472192478500.0,106.936289549634
Philippines,2024,26446369494900.0,6233543391500.0,113.663871723187
Poland,2024,3641208000000.0,614824000000.0,112.926764971936
Portugal,2024,285189290000.0,56528348000.0,95.5606225231176
Romania,2024,1760118400000.0,451708800000.0,111.571954485078
Russian Federation,2024,201152092157700.0,44520800000000.0,82.8347999701391
Samoa,2024,2943500000.0,898370145.270204,116.575405979007
Saudi Arabia,2024,4640737000000.0,1331005000000.0,119.660208072893
Sierra Leone,2024,170481890800.0,50284677100.0,113.381088395689
Singapore,2024,731436100000.0,160158900000.0,120.994433120222
Slovak Republic,2024,130985118000.0,26638017000.0,113.765972185409
South Africa,2024,7336241745254.7,1065197362875.08,72.6069723037451
Spain,2024,1591627000000.0,310915000000.0,97.2287697579016
Sweden,2024,6447503000000.0,1572611000000.0,84.5048222057739
Switzerland,2024,824589363000.0,206597722000.0,110.802592112711
Togo,2024,6018421000000.0,1341624000000.0,106.942914795824
Tunisia,2024,166227000000.0,22198000000.0,93.1848613516766
Uganda,2024,202725226550500.0,43686390332500.0,110.145213055447
Ukraine,2024,7658659000000.0,1445971000000.0,87.2278982085241
United Kingdom,2024,2850989000000.0,496146000000.0,108.336738800046
United States,2024,29184890000000.0,6293963000000.0,130.565443474868
Uruguay,2024,3255688000000.0,528657000000.0,128.751118994799
