,trade_date,open,high,low,close,vol
0,20251201,95.39,96.3,95.14,95.77,233712.72
1,20251128,94.6,95.23,94.2,95.17,219350.62
2,20251127,94.6,95.16,94.22,94.29,202279.96
3,20251126,94.75,95.44,94.45,95.09,306576.97
4,20251125,94.0,95.38,93.7,93.91,277488.87
5,20251124,93.1,94.41,92.2,93.93,327302.13
6,20251121,92.49,94.39,91.7,92.7,451713.13
7,20251120,95.17,95.5,93.5,93.61,391810.87
8,20251119,96.4,96.66,95.01,95.17,348292.35
9,20251118,97.54,97.85,96.02,96.49,304756.45
10,20251117,97.8,98.59,97.25,98.08,207247.59
11,20251114,99.0,100.5,98.33,98.37,342984.66
12,20251113,97.01,100.5,97.01,99.83,579990.22
13,20251112,98.8,98.99,97.54,97.77,260643.35
14,20251111,99.5,99.78,98.14,98.71,319857.88
15,20251110,97.35,100.35,97.35,99.39,554876.9
16,20251107,97.0,98.15,96.83,97.2,322560.73
17,20251106,95.58,97.75,95.4,97.52,402003.67
18,20251105,96.66,96.66,94.73,95.8,587215.1
19,20251104,99.0,99.54,97.71,97.8,435017.04
20,20251103,100.79,100.99,98.5,99.6,551670.21
21,20251031,101.0,101.32,100.0,100.79,637052.59
22,20251030,104.0,104.86,103.5,103.61,358989.45
23,20251029,103.73,105.18,103.0,104.52,397340.4
24,20251028,104.02,104.32,103.5,103.72,265415.83
25,20251027,104.0,104.97,103.88,104.01,345987.84
26,20251024,103.98,104.37,103.61,103.76,305542.68
27,20251023,103.3,103.73,102.0,103.69,378603.42
28,20251022,104.1,104.32,103.37,103.78,357874.19
29,20251021,104.69,105.07,104.24,104.76,299074.19
30,20251020,105.22,105.63,104.08,104.52,355614.52
31,20251017,106.6,106.63,104.26,104.43,625724.94
32,20251016,107.0,109.3,106.51,106.96,523096.38
33,20251015,106.45,107.51,105.5,107.1,475791.33
34,20251014,106.68,109.36,105.62,105.99,767786.27
35,20251013,105.0,105.98,104.1,105.69,744429.8
36,20251010,110.55,110.55,107.58,107.79,590102.53
37,20251009,108.67,112.48,108.07,110.6,1008721.97
38,20250930,108.19,109.98,107.76,109.21,567755.5
39,20250929,107.0,109.14,106.39,108.61,613983.68
40,20250926,107.45,111.23,107.0,107.29,756612.07
41,20250925,105.34,108.8,104.87,107.5,693482.04
42,20250924,105.0,105.83,104.0,105.71,548162.27
43,20250923,107.45,107.69,104.64,105.6,650962.62
44,20250922,108.87,108.91,107.15,107.99,491559.23
