trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-01-04,-0.005061656,0.0014712792,0.0055399664,0.0103743883,-0.008241529,-0.014706285,0.000285,0.0032404742,0.0059059114,0.0086785168,-0.008084178,-0.01948125
1994-01-05,0.0069620311,0.0129327325,0.0143029455,0.009253646,-0.023548719,-0.006644947,0.000285,0.0120796354,0.0141994364,0.0122080882,-0.018149,-0.000044583
1994-01-06,0.0305370845,0.0103001181,0.0031034651,-0.000345748,0.0012379498,0.0086422811,0.000285,0.0081012242,0.0009160364,-0.004892769,-0.002966856,-0.00083825
1994-01-07,-0.002357072,0.0085174454,0.0034519011,-0.02768281,0.008389787,0.0044104897,0.000285,0.0112520892,0.0075490227,-0.028359353,0.0010575769,0.0017324167
1994-01-10,0.0047296469,0.0105917789,0.0185687997,-0.000998606,-0.030701493,-0.03187062,0.000285,0.008913581,0.0145764159,0.0015114874,-0.025715683,-0.010480167
1994-01-11,-0.013374556,-0.004093062,-0.006208932,0.0120663869,0.0075657731,0.0039498942,0.000285,-0.004237383,-0.002306514,0.0081111345,0.002327476,-0.002963833
1994-01-12,-0.005675927,0.0033318793,0.0034090869,0.0027932568,0.0016986942,-0.002812077,0.000285,0.0077858785,0.0044770455,-0.002070122,-0.003827538,-0.012984667
1994-01-13,0.0011513188,0.0028472688,0.0093976577,-0.008760127,-0.005660746,-0.008682731,0.000285,0.0022718936,0.0099538682,-0.004905887,-0.005622005,0.0007049167
1994-01-14,-0.039643349,-0.020321918,-0.021635882,0.0077089977,0.0292467655,0.0147787303,0.000285,-0.020626251,-0.017097932,0.007946021,0.0298987404,0.0047684167
1994-01-17,-0.001030596,0.015625473,0.0214733162,0.0014714147,-0.025434495,-0.019620874,0.000285,0.0187041483,0.0191292114,0.0004768866,-0.024069841,-0.006184667
1994-01-18,0.0034174181,-0.002341954,-0.03272722,0.0272670126,0.01842428,-0.000145877,0.000285,-0.010060399,-0.032010809,0.0185023445,0.0203250865,-0.000308
1994-01-19,-0.027958545,-0.002049385,0.0005173639,0.0113288233,-0.000477404,0.0053719955,0.000285,-0.003291364,0.0019711205,0.0087969496,-0.000347067,0.0007435
1994-01-20,-0.014951075,0.0079169358,0.0081256923,0.0055059633,-0.012726664,-0.004672316,0.000285,0.0050371939,0.0039213909,0.0039126008,-0.01182412,-0.0010185
1994-01-21,0.001730507,0.0065545916,0.0102996505,-0.01036117,-0.006671904,0.0032148945,0.000285,0.0090539475,0.0117337045,-0.007755492,-0.008457111,0.0054566667
1994-01-24,0.0114097558,0.0150078093,0.0159220579,-0.031186221,-0.008434776,0.008979796,0.000285,0.0191270759,0.013605775,-0.019970055,-0.007102909,0.0132058333
1994-01-25,-0.027988366,-0.000419057,-0.00527057,0.0114803906,0.0046390916,-0.008112591,0.000285,-0.000842793,-0.004866095,0.0039206723,0.0040206202,-0.008156583
1994-01-26,-0.014714294,0.0024918528,0.023818234,-0.010642598,-0.017033299,-0.017854269,0.000285,0.0042407889,0.0218141,-0.005852109,-0.015316438,-0.01323875
1994-01-27,0.0088635788,-0.000417791,-0.005901599,0.0004001283,0.0024430631,-0.005898224,0.000285,-0.002624698,-0.005730725,0.000076125,0.0002565417,-0.00362875
1994-01-28,-0.030770202,0.0067885219,0.0024813886,-0.004756734,-0.006984626,-0.013565014,0.000285,0.0080550598,0.0005138341,-0.003212882,-0.005517519,-0.00618525
1994-01-31,-0.046770501,0.0111291441,0.0177474676,0.0009336574,-0.021032399,-0.030901419,0.000285,0.0124690663,0.0167836773,0.0022514496,-0.01658513,-0.01869525
1994-02-01,-0.011891378,-0.003696023,-0.008034947,-0.007523606,0.013855993,0.026883739,0.000285,-0.005506245,-0.010312623,-0.004891615,0.0100973897,0.0217725833
1994-02-02,0.0291520759,-0.008849135,-0.007685461,0.0054197512,0.0068370133,-0.004005819,0.000285,-0.007435378,-0.006083623,0.0005129231,0.0103125385,-0.009870917
1994-02-03,0.0561363231,-0.025103091,-0.041889033,-0.015474882,0.0590210508,0.0329530876,0.000285,-0.029038858,-0.036515193,-0.012772077,0.0505537692,0.00802275
1994-02-04,0.0372223372,-0.006424896,-0.017990245,-0.012572736,0.0174297958,0.0048694943,0.000285,-0.00884768,-0.017047048,-0.028222615,0.0161349846,0.0034743333
1994-02-14,-0.064680808,0.0309150813,0.0301570373,0.0128886656,-0.049139575,-0.027935325,0.000285,0.0325559968,0.0287129341,0.0191323846,-0.042759097,-0.005247417
1994-02-15,-0.007431391,-0.000493814,0.0082727399,-0.000061733,-0.009663709,-0.002054808,0.000285,-0.004454319,0.0057103932,-0.001177538,-0.006160949,0.0019205833
1994-02-16,-0.003114239,0.0071265901,0.002046832,-0.000509777,-0.00704931,-0.007909741,0.000285,0.010019282,0.0009501841,-0.000221615,-0.005696646,-0.003514667
1994-02-17,-0.016380149,0.0005753819,0.0092511703,-0.000187344,-0.006728789,-0.00730887,0.000285,0.0009154288,0.0077045932,0.0010053846,-0.004133718,-0.00434425
1994-02-18,-0.000149963,-0.006283103,-0.009637542,-0.010067924,0.0080248685,0.0068994044,0.000285,-0.004975586,-0.009999268,-0.010869462,0.0073665949,0.0032891667
1994-02-21,-0.029700119,0.0036940616,0.0094355252,0.001390913,-0.01002282,-0.006095544,0.000285,0.0030908374,0.0099842227,0.0036553846,-0.008170903,-0.001726833
1994-02-22,0.0285593585,-0.004220811,-0.013268535,-0.003897302,0.0149544791,0.0055506012,0.000285,-0.006718077,-0.012681782,-0.00851,0.014961241,0.0013900833
1994-02-23,-0.005529475,-0.005655803,-0.007599199,-0.006044148,0.0088354082,0.0037287068,0.000285,-0.007889069,-0.007948198,-0.006500538,0.0082668564,0.0012883333
1994-02-24,0.0213423729,-0.01482077,-0.031959312,-0.001817404,0.0322762387,0.0126849376,0.000285,-0.018858279,-0.031752564,-0.006315615,0.0301831846,-0.004266167
1994-02-25,0.004738084,0.0143479673,0.020342249,0.0203586239,-0.029642484,-0.033272021,0.000285,0.015795715,0.0206250114,0.0197996154,-0.024847292,-0.02214175
1994-02-28,-0.022882624,-0.005919445,0.0053438302,-0.009737154,-0.001470328,0.0025199079,0.000285,-0.003775426,0.0033255273,-0.003993769,0.0020924154,0.01489275
1994-03-01,-0.004925755,-0.005298644,0.0019154342,0.0014142739,-0.008562704,-0.011415375,0.000285,-0.006036853,-0.003688918,-0.002161545,-0.003055413,-0.00691025
1994-03-02,-0.017117031,-0.005851916,-0.016406622,0.0060443151,0.010763633,0.0096733911,0.000285,-0.004798965,-0.016457236,0.0031119936,0.0129681635,0.0093023333
1994-03-03,-0.01495957,-0.005653557,-0.000952298,0.0137875215,0.0002089673,-0.005498725,0.000285,-0.007453168,-0.001632814,0.0151800449,0.0028147548,-0.000322
1994-03-04,-0.0128463,-0.005663431,0.001051101,-0.002058684,0.0045337178,-0.01212028,0.000285,-0.004543399,-0.004288982,0.0040235513,0.0072158462,-0.008268167
1994-03-07,-0.004009796,-0.009767046,0.0063883668,0.0331306385,-0.019858412,-0.029107977,0.000285,-0.014108427,-0.000516018,0.0242481154,-0.000993303,-0.013848083
1994-03-08,0.0011654963,-0.003223062,0.0180948325,0.0268159491,-0.028846105,-0.039030962,0.000285,-0.008799279,0.0162283205,0.0238241731,-0.01826212,-0.030206833
1994-03-09,0.0040983546,-0.00906078,0.0077627777,0.0481789129,-0.02788253,-0.0534162,0.000285,-0.006889689,0.0043585727,0.0351299231,-0.009544072,-0.04410675
1994-03-10,-0.037537265,0.0167203038,-0.034086616,-0.03873501,0.0384010273,0.0537015657,0.000285,0.0157571963,-0.02665005,-0.022064212,0.0150260337,0.0354151667
1994-03-11,0.0182801342,0.0095374039,0.0119849441,0.007186403,-0.006388476,-0.004235569,0.000285,0.0078250537,0.012488275,0.0037884551,-0.007546524,0.00448075
1994-03-14,0.0800231776,0.0390933497,0.0402946974,-0.015767619,-0.030345774,-0.024332771,0.000285,0.0446917232,0.0488460682,-0.028635801,-0.038977308,-0.01578125
1994-03-15,-0.03362186,0.0009732979,0.0059320627,0.0137983674,-0.020645011,-0.007785473,0.000285,-0.003996366,0.0097068455,-0.001888949,-0.020049236,0.00440375
1994-03-16,0.0058105284,0.0221220249,0.0163005403,0.0295191035,-0.033738318,-0.009235353,0.000285,0.0253114985,0.0196316977,0.0240326859,-0.031796784,-0.005000917
1994-03-17,-0.004714742,0.0136991699,-0.020679501,-0.008767127,0.0205824949,0.0315733652,0.000285,0.0083035756,-0.014896998,-0.007040587,0.0134855128,0.0314365
1994-03-18,-0.012723225,-0.004650917,-0.004756607,0.0017334027,0.0116749185,0.0001339433,0.000285,-0.00677325,-0.006871802,0.0029142564,0.0087777548,-0.00211825
1994-03-21,-0.038720311,-0.007184924,-0.009890923,0.0082353831,0.012351613,0.0151387607,0.000285,-0.006609958,-0.006241632,0.0122630385,0.0162751827,0.0080671667
1994-03-22,-0.001351163,0.012026462,0.0137372326,0.0162302127,-0.026251774,-0.012865183,0.000285,0.0119176019,0.009026225,0.0141716503,-0.018906426,-0.003836
1994-03-23,-0.030648349,0.0063955,0.0141218838,0.0085835149,-0.018361905,-0.002516216,0.000285,0.0111356418,0.0215046182,0.0103890705,-0.013372298,0.0036545
1994-03-24,-0.00911486,0.0130490524,0.0175409489,0.0114923673,-0.007272925,-0.004817032,0.000285,0.0140947165,0.0183752136,0.0139600962,-0.008206514,-0.002850417
1994-03-25,0.0082919281,-0.011993255,0.0018492305,0.0192975883,-0.023880186,-0.017219416,0.000285,-0.008071256,-0.002589245,0.0056002564,-0.014576587,-0.01616075
1994-03-28,-0.027429207,0.0098452969,0.0255704782,0.0103745467,-0.010052418,-0.006610229,0.000285,0.0135732805,0.0352313318,-0.002206545,-0.010446938,-0.0058005
