country,year,NY.GDP.PCAP.KD
Canada,2024,44401.7153908386
Canada,2023,45048.2842408265
Canada,2022,45677.686578804
Canada,2021,44639.193269037
Canada,2020,42366.1285377884
Canada,2019,45100.2915069262
Canada,2018,44907.3436912123
Canada,2017,44339.3886689254
Canada,2016,43551.3425975115
Canada,2015,43594.1941045394
Canada,2014,43643.2356440047
Canada,2013,42851.170527104
Canada,2012,42320.6431330726
Canada,2011,42043.6419795513
Canada,2010,41164.3399119626
Canada,2009,40376.4153847836
Canada,2008,42067.5687072607
Canada,2007,42106.8724378248
Canada,2006,41663.5123057295
Canada,2005,41006.2229523971
Canada,2004,40108.7587456658
Canada,2003,39270.0234577749
Canada,2002,38921.6673033743
Canada,2001,38200.456120621
Canada,2000,37906.8601321366
Canada,1999,36391.535343959
Canada,1998,34894.6134264056
Canada,1997,33867.0079071879
Canada,1996,32801.3018574024
Canada,1995,32595.4515150443
Canada,1994,32074.1562636226
Canada,1993,31032.7546058282
Canada,1992,30563.3788132238
Canada,1991,30654.3331550624
Canada,1990,31700.5462613508
Canada,1989,32116.9233234971
Canada,1988,31951.5504658265
Canada,1987,31001.1298465676
Canada,1986,30183.4087940958
Canada,1985,29851.6432940057
Canada,1984,28762.9722015849
Canada,1983,27418.4916111044
Canada,1982,26999.079084851
Canada,1981,28215.530855259
Canada,1980,27622.3734030629
Canada,1979,27384.6779329775
Canada,1978,26663.7706981097
Canada,1977,25960.6392016614
Canada,1976,25369.4634351839
Canada,1975,24275.8127510644
Canada,1974,24257.8168034862
Canada,1973,23799.695529436
Canada,1972,22573.5662893211
Canada,1971,21642.5407846389
Canada,1970,21428.9091307708
Canada,1969,21114.2870593259
Canada,1968,20371.1440869411
Canada,1967,19715.0936501258
Canada,1966,19476.027074606
Canada,1965,18585.88144194
Canada,1964,17800.8641385665
Canada,1963,17007.690713787
Canada,1962,16455.7535452389
Canada,1961,15605.523188594
Canada,1960,15432.4717490557
China,2024,13121.6769905565
China,2023,12484.1578844175
China,2022,11830.5983703496
China,2021,11469.5707134928
China,2020,10573.6420059282
China,2019,10356.4804194995
China,2018,9798.6528523316
China,2017,9221.51403820573
China,2016,8679.37704460133
China,2015,8175.33285077393
China,2014,7686.57792954381
China,2013,7198.06876478162
China,2012,6723.19443752823
China,2011,6275.90956436258
China,2010,5764.86534987407
China,2009,5237.76666540352
China,2008,4811.47471804961
China,2007,4409.75700836878
China,2006,3883.35412942474
