,trade_date,open,high,low,close,vol
0,20251201,40.42,40.85,40.32,40.85,408827.55
1,20251128,40.28,40.39,40.11,40.36,204371.45
2,20251127,40.25,40.48,40.04,40.33,295930.24
3,20251126,40.07,40.38,40.02,40.33,319654.63
4,20251125,40.16,40.2,39.72,40.07,413435.01
5,20251124,40.26,40.42,40.01,40.11,355300.91
6,20251121,40.18,40.72,39.97,40.25,550948.77
7,20251120,40.18,40.64,40.06,40.35,332902.13
8,20251119,40.1,40.29,40.0,40.16,218006.37
9,20251118,40.19,40.46,40.05,40.11,265683.19
10,20251117,40.62,40.62,40.06,40.19,366439.71
11,20251114,40.87,41.13,40.61,40.62,351223.41
12,20251113,41.15,41.32,40.75,41.0,441638.42
13,20251112,40.93,41.35,40.93,41.15,580158.18
14,20251111,40.9,41.09,40.75,40.92,468452.73
15,20251110,40.1,40.88,40.09,40.86,640991.07
16,20251107,39.95,40.08,39.88,40.02,244832.24
17,20251106,39.71,40.05,39.65,39.99,347530.78
18,20251105,39.55,39.88,39.45,39.72,281069.83
19,20251104,39.5,39.92,39.41,39.71,398198.16
20,20251103,39.65,39.84,39.2,39.52,613443.9
21,20251031,39.79,40.03,39.52,39.75,921555.79
22,20251030,40.61,40.79,40.41,40.47,439595.53
23,20251029,40.72,40.72,40.52,40.69,287433.19
24,20251028,40.97,41.15,40.67,40.72,338061.25
25,20251027,40.53,41.14,40.51,40.97,616525.29
26,20251024,40.53,40.75,40.44,40.5,292379.85
27,20251023,40.55,40.64,40.21,40.53,331124.15
28,20251022,40.58,40.81,40.52,40.57,307742.74
29,20251021,40.77,40.86,40.45,40.69,354371.67
30,20251020,40.36,40.78,40.23,40.77,394715.11
31,20251017,40.73,41.05,40.17,40.22,451803.83
32,20251016,40.82,40.94,40.6,40.77,397468.59
33,20251015,40.65,40.95,40.45,40.82,438869.95
34,20251014,40.45,40.79,40.1,40.58,557710.99
35,20251013,39.8,40.6,39.59,40.45,565692.97
36,20251010,40.18,40.84,40.03,40.41,609576.28
37,20251009,39.73,40.38,39.4,40.38,638098.38
38,20250930,39.96,40.0,39.66,39.72,395376.15
39,20250929,39.85,40.05,39.45,39.94,410191.4
40,20250926,39.51,40.05,39.3,39.85,450107.54
41,20250925,39.88,39.9,39.45,39.5,468990.83
42,20250924,39.65,40.04,39.43,39.99,363780.47
43,20250923,39.8,40.03,39.46,39.64,434243.66
44,20250922,40.3,40.33,39.7,39.83,582026.71
45,20250919,40.11,40.46,40.01,40.44,393408.52
46,20250918,40.7,40.87,40.08,40.21,580312.18
47,20250917,40.46,40.83,40.37,40.79,525926.42
48,20250916,40.89,40.89,40.5,40.5,555724.98
49,20250915,41.04,41.05,40.68,40.94,492795.18
50,20250912,41.38,41.45,41.02,41.05,660883.69
51,20250911,41.17,41.39,41.01,41.37,528172.46
52,20250910,41.32,41.37,41.11,41.16,491111.92
53,20250909,41.44,41.67,41.26,41.34,666713.52
54,20250908,41.5,41.72,41.27,41.42,627318.0
55,20250905,41.15,41.4,41.01,41.36,643464.92
56,20250904,41.5,41.55,41.0,41.19,703629.67
57,20250903,42.25,42.46,41.5,41.54,822525.98
58,20250902,41.25,41.85,41.11,41.52,855870.58
59,20250901,42.59,42.59,41.35,41.41,1615704.65
60,20250829,43.38,43.38,42.11,42.6,2541970.17
61,20250828,47.24,47.7,46.94,47.25,697027.99
62,20250827,48.06,48.35,47.23,47.24,693531.56
63,20250826,48.0,48.23,47.72,48.04,508961.29
64,20250825,47.25,48.1,47.1,48.1,762382.38
65,20250822,46.98,47.19,46.53,47.11,816582.59
66,20250821,46.91,47.05,46.06,46.64,765657.52
67,20250820,46.8,47.19,46.58,47.18,469445.6
68,20250819,47.78,48.15,46.85,47.06,634121.26
69,20250818,47.79,48.25,47.51,47.65,370441.66
70,20250815,47.67,47.82,47.23,47.79,351231.43
71,20250814,47.79,48.24,47.7,47.7,302763.25
72,20250813,48.0,48.12,47.64,47.73,272881.91
73,20250812,47.3,48.3,47.19,47.88,450653.37
74,20250811,47.44,47.55,47.06,47.23,244308.92
75,20250808,47.04,47.61,46.9,47.44,280780.04
76,20250807,46.8,47.15,46.67,47.0,264710.71
77,20250806,46.82,46.98,46.61,46.9,255528.41
78,20250805,46.15,46.79,45.93,46.72,277893.51
79,20250804,45.88,46.25,45.75,46.12,210785.95
80,20250801,45.72,46.05,45.63,45.89,234001.38
81,20250731,46.38,46.4,45.5,45.62,447716.5
82,20250730,46.14,46.66,46.04,46.37,320217.29
83,20250729,46.65,46.78,46.01,46.12,427600.76
84,20250728,46.94,47.1,46.59,46.63,382200.7
85,20250725,46.5,47.59,46.5,46.8,621993.16
86,20250724,48.18,48.24,47.63,47.79,316142.5
87,20250723,47.94,48.47,47.92,48.15,263582.98
88,20250722,47.53,47.92,47.44,47.89,299742.24
89,20250721,47.89,48.08,47.39,47.55,269500.47
90,20250718,47.8,47.9,47.54,47.88,210739.24
91,20250717,47.48,48.05,47.4,47.56,225690.1
92,20250716,48.09,48.09,47.34,47.48,279248.58
93,20250715,47.37,48.09,47.15,47.95,397740.68
94,20250714,47.14,47.68,47.02,47.25,305755.44
95,20250711,46.5,47.15,46.45,46.95,318347.59
96,20250710,46.2,46.52,45.95,46.34,209382.69
97,20250709,46.62,46.68,46.11,46.2,274919.0
98,20250708,46.49,46.92,46.38,46.6,256017.61
99,20250707,46.9,46.94,46.38,46.49,189802.32
100,20250704,46.53,46.84,46.3,46.74,196169.92
101,20250703,46.6,46.67,46.25,46.53,217129.82
102,20250702,45.55,46.72,45.49,46.41,542095.94
103,20250701,45.05,45.48,44.85,45.45,242453.77
104,20250630,45.23,45.54,44.87,44.92,321622.11
105,20250627,45.57,45.92,45.13,45.22,323096.76
106,20250626,45.52,45.79,45.37,45.5,252526.54
107,20250625,44.93,45.49,44.77,45.37,303185.49
108,20250624,44.49,45.0,44.49,44.9,298953.86
109,20250623,44.6,44.72,44.2,44.42,290723.5
110,20250620,44.08,44.66,44.03,44.64,248254.48
111,20250619,44.46,44.54,44.04,44.08,275096.48
112,20250618,44.49,44.85,44.4,44.48,212106.06
113,20250617,44.61,44.72,44.34,44.45,256592.89
114,20250616,44.92,45.15,44.58,44.6,304698.16
115,20250613,44.71,45.04,44.65,44.92,352204.51
116,20250612,44.89,44.99,44.54,44.86,270084.11
117,20250611,44.62,44.94,44.55,44.77,226642.17
118,20250610,44.82,45.07,44.56,44.65,339236.02
119,20250609,45.0,45.15,44.65,44.82,274460.34
120,20250606,45.03,45.08,44.85,44.87,222151.71
121,20250605,45.38,45.5,44.83,44.94,356488.52
122,20250604,45.05,45.59,44.99,45.32,305372.64
123,20250603,46.23,46.34,44.8,44.98,733643.23
124,20250530,46.07,46.54,45.86,46.42,318706.76
125,20250529,46.6,46.79,46.0,46.06,352636.69
126,20250528,46.36,46.76,45.93,46.68,231386.83
127,20250527,46.05,46.5,46.05,46.18,178542.91
128,20250526,46.57,46.7,45.88,46.04,257220.9
129,20250523,47.01,47.43,46.45,46.56,327488.85
130,20250522,46.88,47.31,46.88,47.08,228984.44
131,20250521,46.9,47.27,46.75,46.87,211477.26
132,20250520,45.75,47.0,45.68,47.0,470336.8
133,20250519,45.7,45.88,45.48,45.71,220714.91
134,20250516,46.21,46.31,45.45,45.58,310925.2
135,20250515,46.07,46.27,45.75,46.2,288515.08
136,20250514,47.0,47.22,46.64,46.9,331513.76
137,20250513,47.0,47.14,46.81,46.98,248680.39
138,20250512,47.18,47.3,46.78,46.9,335058.72
139,20250509,46.68,47.18,46.53,47.0,317423.61
140,20250508,46.19,46.65,46.11,46.52,267159.83
141,20250507,45.98,46.35,45.8,46.1,406180.4
142,20250506,45.89,46.06,45.31,45.47,391608.45
143,20250430,46.35,46.4,45.52,45.56,330522.85
144,20250429,46.73,46.85,45.85,46.27,337778.6
145,20250428,46.81,47.3,46.25,46.55,863703.64
146,20250425,45.31,45.53,45.09,45.22,233137.06
147,20250424,45.29,45.54,45.0,45.4,204351.41
