,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1,11.37,,10.03,,,,,,,38.77,197.83,,,73.73,,,27.68,,
2,11.5,,9.75,,,,,,,39.59,192.94,,,73.41,,,27.79,,
3,11.58,,9.85,,,,,,,39.19,191.76,,,71.08,,,26.89,,
4,11.27,,9.38,,,,,,,39.47,190.31,,,72.84,,,26.35,,
5,11.11,,9.21,,19.33,,,,,39.19,186.43,,16.68,75.17,,,26.4,,
6,11.58,,8.88,,21.26,,,,,40.2,184.88,,16.42,75.12,,,26.49,,
7,11.38,,8.89,,20.7,,,,,40.24,183.18,,16.16,73.85,,,25.17,,
8,11.26,,8.71,,21.55,,,,,39.16,186.07,,15.57,78.87,,,25.59,,
9,11.43,,9.03,,20.7,,,,,38.99,186.11,,15.71,78.29,,,25.71,,
10,11.79,,9.0,,19.56,40.26,,16.65,,38.91,175.48,,15.6,70.46,,,23.96,,
11,11.73,,8.1,,20.39,40.33,,17.28,,39.0,178.08,,15.43,70.62,,,24.52,,
12,12.84,,8.17,,21.07,38.94,,17.22,,39.39,182.36,,15.71,77.36,,,25.64,,
13,12.89,,8.49,,21.31,38.51,,16.91,,40.77,181.23,,16.18,75.47,,,26.12,,
14,13.34,,8.66,,21.78,38.44,,16.51,,41.97,181.02,,16.24,76.8,,,25.94,,
15,12.82,,8.48,,20.86,39.48,,16.3,,41.86,182.8,,14.63,75.61,,,27.12,,
16,13.06,,8.6,,22.38,40.32,,16.52,,42.44,180.11,,14.64,73.96,,,26.77,,
17,12.75,,8.73,,23.51,39.48,,16.4,,42.14,177.47,,15.3,72.29,,,26.26,,
18,12.97,,8.56,,25.86,39.08,,16.62,11.92,41.15,176.15,,15.13,70.55,,,26.27,,
19,12.47,,8.33,,26.1,39.57,,17.11,12.01,40.79,177.18,,15.17,69.29,,,26.35,,
20,12.12,,8.14,,26.29,38.31,,16.82,11.73,40.71,174.82,,15.03,66.22,,,25.28,,
21,11.46,,7.87,,26.58,38.95,,17.24,11.33,42.01,178.37,,14.71,69.07,,,25.59,,
22,11.74,,8.06,,25.0,39.48,,17.86,11.32,41.42,177.25,,14.53,67.5,,,25.15,,
23,11.56,,7.95,,24.98,39.81,,18.02,11.18,40.78,174.05,,14.37,65.94,,,24.7,,
24,11.59,,7.9,,24.6,40.11,,17.7,11.2,40.12,174.6,,14.34,66.31,,,24.14,,
25,11.17,,7.85,,25.7,40.1,,18.07,11.3,40.2,184.3,44.1,14.09,68.0,,,24.36,,
26,11.35,,7.88,,25.75,40.0,,17.81,11.62,40.84,182.88,47.64,14.57,68.49,,,24.63,,
27,11.43,,8.12,,24.99,40.4,,17.75,11.73,40.85,183.15,50.02,14.3,70.15,,,24.78,,
28,12.2,,8.11,,24.63,39.76,,17.36,10.56,41.19,183.57,52.0,14.32,69.9,,,24.41,,6.2
29,12.12,,8.16,,23.64,38.26,,17.23,10.76,41.33,182.49,53.01,14.25,69.92,,,24.68,,6.35
30,11.95,,8.17,,23.24,38.47,,17.45,11.2,40.56,183.31,51.2,14.41,70.31,,,24.86,,6.27
31,11.96,,8.18,,23.75,38.73,,17.73,11.15,41.21,182.22,51.51,14.66,70.58,,,24.7,,6.3
32,12.45,,8.2,,24.59,38.27,,17.55,11.55,41.36,183.96,55.45,14.64,68.16,,,24.33,,6.21
33,12.3,,8.1,,24.21,37.73,,17.15,12.71,40.67,186.64,54.02,14.57,69.87,,,25.09,,6.07
34,12.55,,8.63,,24.64,36.23,,16.79,13.17,40.8,191.05,55.65,14.63,70.28,,,25.69,,6.29
35,12.4,,8.52,,24.73,36.23,,16.63,12.64,40.36,190.73,55.76,14.46,69.9,,,25.85,,6.22
36,12.47,,8.62,,24.48,37.14,,16.73,12.72,40.0,185.95,54.73,14.52,67.12,,,25.97,,6.25
37,12.27,,8.39,,26.02,36.61,,17.22,12.21,40.1,187.19,55.01,14.3,66.94,,,25.84,,6.36
38,12.23,,8.39,,26.12,37.88,,17.11,12.05,41.84,185.52,53.95,14.67,65.16,,,25.43,,6.19
39,12.34,,8.3,,27.03,41.67,,17.4,12.35,42.81,183.62,53.39,14.7,64.98,,,25.81,,6.51
40,12.17,,8.34,,27.44,45.84,,17.74,11.99,42.33,191.56,54.11,14.57,66.32,,,25.72,,6.59
41,12.11,,8.49,,27.28,50.42,,17.57,11.83,42.54,187.83,53.41,14.17,65.7,,,25.66,,6.7
42,12.77,,8.41,,26.85,49.89,,17.34,11.7,43.04,191.98,50.96,14.21,66.22,,,25.28,,6.93
