Date,Close,High,Low,Open,Volume
2024-10-08,3.88,4.25,3.67,4.23,6870092.87
2024-10-09,3.51,3.77,3.49,3.77,4476082.81
2024-10-10,3.6,3.71,3.48,3.52,3151472.64
2024-10-11,3.51,3.65,3.45,3.63,2253861.4
2024-10-14,3.6,3.63,3.51,3.52,2335803.85
2024-10-15,3.46,3.58,3.45,3.58,2216347.93
2024-10-16,3.47,3.52,3.4,3.4,1509481.04
2024-10-17,3.4,3.52,3.4,3.49,1495930.45
2024-10-18,3.48,3.54,3.4,3.41,2250373.9
2024-10-21,3.52,3.57,3.47,3.51,2416115.96
2024-10-22,3.52,3.54,3.47,3.49,1971077.47
2024-10-23,3.54,3.57,3.49,3.52,2247104.79
2024-10-24,3.49,3.51,3.45,3.5,1671158.68
2024-10-25,3.47,3.5,3.45,3.47,1658272.89
2024-10-28,3.56,3.56,3.46,3.47,2608207.98
2024-10-29,3.39,3.54,3.37,3.53,4422768.99
2024-10-30,3.38,3.41,3.34,3.38,2011508.0
2024-10-31,3.4,3.42,3.35,3.37,2207624.54
2024-11-01,3.52,3.59,3.37,3.38,5059228.01
2024-11-04,3.55,3.55,3.44,3.53,2968448.02
2024-11-05,3.64,3.65,3.5,3.52,3996605.89
2024-11-06,3.6,3.67,3.58,3.65,3319649.33
2024-11-07,3.65,3.65,3.47,3.53,3947513.84
2024-11-08,3.6,3.77,3.58,3.72,4142075.71
2024-11-11,3.55,3.58,3.5,3.56,2972160.11
2024-11-12,3.47,3.58,3.44,3.53,3257029.77
2024-11-13,3.47,3.51,3.42,3.43,1942463.07
2024-11-14,3.36,3.46,3.36,3.44,2401585.7
2024-11-15,3.35,3.41,3.35,3.37,1876270.01
2024-11-18,3.37,3.42,3.32,3.35,2426779.24
2024-11-19,3.4,3.4,3.34,3.37,1722813.31
2024-11-20,3.4,3.41,3.36,3.39,1673466.75
2024-11-21,3.39,3.42,3.37,3.39,1405846.87
2024-11-22,3.29,3.39,3.29,3.38,2054681.77
2024-11-25,3.28,3.32,3.25,3.29,1247980.78
2024-11-26,3.26,3.3,3.26,3.27,995288.46
2024-11-27,3.29,3.29,3.18,3.27,1565468.76
2024-11-28,3.26,3.3,3.26,3.27,1243151.65
2024-11-29,3.3,3.32,3.25,3.26,1540727.99
2024-12-02,3.47,3.48,3.37,3.38,4087779.97
2024-12-03,3.47,3.48,3.4,3.47,2117748.54
2024-12-04,3.46,3.51,3.44,3.48,1911761.9
2024-12-05,3.45,3.47,3.42,3.45,1292546.04
2024-12-06,3.49,3.5,3.44,3.44,2150034.77
2024-12-09,3.5,3.55,3.48,3.49,1909129.4
2024-12-10,3.5,3.61,3.49,3.58,2280856.06
2024-12-11,3.58,3.6,3.48,3.5,2699740.03
2024-12-12,3.58,3.6,3.54,3.59,2152602.59
2024-12-13,3.45,3.56,3.43,3.55,5507473.06
2024-12-16,3.45,3.49,3.43,3.44,1850530.16
2024-12-17,3.4,3.47,3.39,3.45,1497157.29
2024-12-18,3.36,3.42,3.35,3.4,1608903.74
2024-12-19,3.32,3.33,3.29,3.32,1816947.52
2024-12-20,3.28,3.33,3.27,3.31,1639056.46
2024-12-23,3.29,3.33,3.28,3.29,1442291.29
2024-12-24,3.33,3.33,3.28,3.29,1200967.15
2024-12-25,3.31,3.35,3.3,3.33,1191192.15
2024-12-26,3.29,3.33,3.28,3.31,970956.5
2024-12-27,3.31,3.32,3.28,3.29,1078210.78
2024-12-30,3.31,3.33,3.29,3.31,863181.2
2024-12-31,3.23,3.32,3.22,3.3,1802990.34
2025-01-02,3.18,3.26,3.16,3.23,1637865.88
2025-01-03,3.21,3.3,3.18,3.19,2488079.19
2025-01-06,3.23,3.28,3.17,3.22,1699649.67
2025-01-07,3.28,3.29,3.2,3.23,1523294.09
2025-01-08,3.22,3.27,3.17,3.27,1565618.17
2025-01-09,3.22,3.24,3.19,3.22,1006511.55
2025-01-10,3.22,3.28,3.22,3.23,1625557.85
2025-01-13,3.28,3.29,3.17,3.21,1699010.83
2025-01-14,3.31,3.32,3.25,3.26,1772369.17
2025-01-15,3.27,3.32,3.26,3.3,1236052.0
2025-01-16,3.34,3.35,3.29,3.3,2022673.8
2025-01-17,3.33,3.34,3.3,3.33,1036470.87
2025-01-20,3.29,3.34,3.29,3.33,1167194.0
2025-01-21,3.28,3.31,3.26,3.3,875300.0
2025-01-22,3.24,3.28,3.23,3.28,844921.36
2025-01-23,3.23,3.31,3.23,3.26,1317625.1
2025-01-24,3.27,3.28,3.23,3.24,1042357.0
2025-01-27,3.27,3.31,3.26,3.26,1103945.88
2025-02-05,3.27,3.3,3.25,3.29,1190402.78
2025-02-06,3.33,3.33,3.28,3.29,1540328.8
2025-02-07,3.38,3.39,3.32,3.33,2166576.41
2025-02-10,3.4,3.44,3.37,3.39,1538210.62
2025-02-11,3.4,3.45,3.38,3.41,1877574.09
2025-02-12,3.35,3.39,3.32,3.39,1990834.87
2025-02-13,3.33,3.38,3.33,3.36,1251410.16
2025-02-14,3.36,3.37,3.33,3.35,1193430.06
2025-02-17,3.31,3.34,3.29,3.34,1516932.67
2025-02-18,3.26,3.31,3.25,3.3,1364138.16
2025-02-19,3.24,3.28,3.23,3.27,1463436.86
2025-02-20,3.25,3.26,3.23,3.24,1241017.83
2025-02-21,3.25,3.28,3.24,3.25,1554976.75
2025-02-24,3.25,3.26,3.22,3.24,1309217.59
2025-02-25,3.2,3.25,3.2,3.24,1310784.44
2025-02-26,3.26,3.3,3.21,3.22,2441915.13
2025-02-27,3.25,3.29,3.23,3.27,1262890.1
2025-02-28,3.21,3.25,3.2,3.24,1204521.5
2025-03-03,3.24,3.26,3.21,3.22,1227314.35
2025-03-04,3.24,3.24,3.21,3.23,787152.45
2025-03-05,3.27,3.27,3.21,3.23,1442145.57
2025-03-06,3.31,3.35,3.29,3.3,2257828.43
2025-03-07,3.35,3.38,3.31,3.32,2324111.01
2025-03-10,3.37,3.38,3.32,3.37,1888275.34
2025-03-11,3.38,3.38,3.31,3.33,1728913.52
2025-03-12,3.45,3.47,3.39,3.41,3122923.94
2025-03-13,3.45,3.49,3.41,3.45,2124219.74
2025-03-14,3.52,3.53,3.47,3.5,3283639.39
2025-03-17,3.48,3.53,3.47,3.5,1784733.67
2025-03-18,3.5,3.57,3.48,3.51,2513054.87
2025-03-19,3.51,3.51,3.45,3.5,1649495.16
2025-03-20,3.52,3.58,3.52,3.57,1849453.2
2025-03-21,3.46,3.55,3.45,3.51,1949801.36
2025-03-24,3.62,3.68,3.46,3.47,5524436.48
2025-03-25,3.63,3.75,3.59,3.65,4458267.8
2025-03-26,3.6,3.78,3.59,3.7,5348421.44
2025-03-27,3.52,3.57,3.49,3.54,3107098.6
2025-03-28,3.5,3.53,3.46,3.51,2168266.0
2025-03-31,3.43,3.47,3.38,3.47,2361317.0
2025-04-01,3.44,3.48,3.43,3.45,1653616.05
2025-04-02,3.42,3.46,3.41,3.43,1168352.66
2025-04-03,3.35,3.4,3.34,3.38,1892649.92
2025-04-07,3.02,3.12,3.02,3.08,3432578.0
2025-04-08,2.95,3.02,2.9,3.0,3973726.21
2025-04-09,2.96,2.97,2.81,2.9,3588410.76
2025-04-10,3.03,3.07,3.0,3.05,3390932.24
2025-04-11,3.01,3.04,2.99,3.0,2173361.14
2025-04-14,3.11,3.13,3.05,3.05,3400733.16
2025-04-15,3.07,3.11,3.05,3.11,1692976.41
2025-04-16,3.05,3.08,3.01,3.07,1527277.31
2025-04-17,3.04,3.08,3.04,3.06,1600871.97
2025-04-18,3.07,3.08,3.03,3.04,1436006.35
2025-04-21,3.19,3.2,3.06,3.07,2838469.51
2025-04-22,3.19,3.22,3.16,3.19,2131381.84
2025-04-23,3.18,3.21,3.15,3.18,1910806.59
2025-04-24,3.16,3.2,3.14,3.18,1441353.4
2025-04-25,3.16,3.2,3.15,3.17,1316321.6
2025-04-28,3.17,3.19,3.14,3.16,1235272.4
2025-04-29,3.18,3.19,3.15,3.17,1310948.19
2025-04-30,3.16,3.18,3.16,3.18,1142792.04
2025-05-06,3.21,3.21,3.16,3.18,1398243.72
2025-05-07,3.2,3.25,3.19,3.24,1343894.35
