Date,Close,High,Low,Open,Volume
2000-05-16,16.1,16.13,15.76,15.76,3185.0
2000-05-17,15.86,16.15,15.8,16.12,4034.0
2000-05-18,16.07,16.08,15.68,15.8,3577.0
2000-05-19,16.18,16.2,16.0,16.1,5676.0
2000-05-22,16.53,16.6,16.1,16.18,6952.0
2000-05-23,16.28,16.68,16.25,16.55,5432.0
2000-05-24,16.4,16.6,16.28,16.31,6590.0
2000-05-25,16.66,16.7,16.41,16.45,8365.0
2000-05-26,16.65,16.85,16.5,16.83,7134.0
2000-05-29,16.6,16.66,16.5,16.6,8530.0
2000-05-30,16.36,16.8,16.31,16.6,6094.0
2000-05-31,16.31,16.55,16.1,16.28,5979.0
2000-06-01,16.32,16.45,16.25,16.31,5978.0
2000-06-02,16.73,16.75,16.31,16.38,7736.0
2000-06-05,17.15,17.68,16.63,16.73,19850.0
2000-06-06,17.3,17.6,17.26,17.28,16563.0
2000-06-07,17.29,17.7,17.15,17.45,12375.0
2000-06-08,16.99,17.31,16.9,17.29,6964.0
2000-06-09,16.81,17.2,16.78,17.0,6783.0
2000-06-12,17.11,17.25,16.9,16.9,6050.0
2000-06-13,16.78,16.98,16.72,16.98,4132.0
2000-06-14,16.68,16.9,16.66,16.85,5405.0
2000-06-15,16.9,16.9,16.68,16.74,5037.0
2000-06-16,16.57,17.0,16.53,16.9,4813.0
2000-06-19,16.66,16.85,16.5,16.55,5326.0
2000-06-20,16.77,16.96,16.6,16.8,4676.0
2000-06-21,16.97,17.0,16.72,16.78,6961.0
2000-06-22,17.09,17.17,16.9,17.0,8210.0
2000-06-23,17.07,17.28,17.05,17.16,6673.0
2000-06-26,17.11,17.4,17.11,17.35,7757.0
2000-06-27,16.94,17.3,16.9,17.13,6075.0
2000-06-28,16.98,17.13,16.85,17.13,6554.0
2000-06-29,17.4,17.45,16.91,16.91,15378.0
2000-06-30,17.53,17.86,17.44,17.5,26954.0
2000-07-03,17.36,17.74,17.12,17.53,13818.0
2000-07-04,17.45,17.45,17.22,17.4,6350.0
2000-07-05,17.42,17.66,17.35,17.6,5509.0
2000-07-06,17.18,17.39,17.12,17.39,3988.0
2000-07-07,17.29,17.3,17.15,17.18,4770.0
2000-07-10,17.6,17.68,17.35,17.4,8711.0
2000-07-11,17.5,17.75,17.41,17.75,7645.0
2000-07-12,17.5,17.55,17.3,17.55,7531.0
2000-07-13,17.4,17.6,17.31,17.51,8876.0
2000-07-14,17.28,17.4,17.15,17.4,8262.0
2000-07-17,16.82,17.26,16.8,17.26,17758.0
2000-07-18,16.83,16.85,16.63,16.8,10229.0
2000-07-19,17.0,17.0,16.86,16.93,5219.0
2000-07-20,16.78,17.09,16.75,17.09,6317.0
2000-07-21,16.81,16.9,16.75,16.8,5196.0
2000-07-24,16.59,16.8,16.5,16.8,5976.0
2000-07-25,16.56,16.7,16.5,16.7,6073.0
2000-07-26,16.75,16.9,16.55,16.6,6522.0
2000-07-27,17.12,17.15,16.76,16.76,10473.0
2000-07-28,16.89,17.2,16.82,17.15,6570.0
2000-07-31,16.69,16.72,16.08,16.5,11537.0
2000-08-01,16.63,16.79,16.6,16.65,8067.0
2000-08-02,16.41,16.7,16.3,16.7,18890.0
2000-08-03,16.49,16.68,16.4,16.41,22892.0
2000-08-04,16.2,16.23,16.08,16.2,8849.0
2000-08-07,16.0,16.2,15.74,16.2,7729.0
2000-08-08,16.11,16.2,15.96,16.0,6634.0
2000-08-09,16.22,16.26,15.99,16.11,6487.0
2000-08-10,16.09,16.22,16.0,16.22,5749.0
2000-08-11,16.32,16.43,16.09,16.09,8437.0
2000-08-14,16.39,16.45,16.33,16.38,7773.0
2000-08-15,16.25,16.45,16.06,16.43,5369.0
2000-08-16,16.19,16.38,16.05,16.25,8536.0
2000-08-17,16.1,16.25,16.08,16.19,10502.0
2000-08-18,16.03,16.2,16.01,16.1,15594.0
2000-08-21,16.34,16.35,16.03,16.05,6393.0
2000-08-22,16.01,16.44,16.01,16.3,5280.0
2000-08-23,16.53,16.71,15.3,16.0,26313.0
2000-08-24,16.74,17.1,16.4,16.55,28359.0
2000-08-25,16.61,16.8,16.5,16.74,8725.0
2000-08-28,16.53,16.79,16.5,16.65,6577.0
2000-08-29,16.59,16.75,16.45,16.53,7309.0
2000-08-30,16.31,16.7,16.3,16.6,5408.0
2000-08-31,15.93,16.25,15.9,16.25,7827.0
2000-09-01,15.86,16.0,15.8,15.88,4242.0
2000-09-04,15.75,15.9,15.55,15.9,5152.0
2000-09-05,15.41,15.85,15.35,15.7,4778.0
2000-09-06,15.31,15.56,15.3,15.4,6052.49
2000-09-07,15.51,15.6,15.4,15.4,3851.0
2000-09-08,15.39,15.55,15.3,15.32,5632.0
2000-09-11,15.24,15.45,15.0,15.35,6673.0
2000-09-12,15.52,15.55,15.2,15.24,5236.0
2000-09-13,15.46,15.55,15.31,15.5,4853.0
2000-09-14,15.27,15.48,15.2,15.4,4982.0
2000-09-15,15.18,15.34,15.14,15.2,4333.0
2000-09-18,14.92,15.25,14.88,15.2,5667.0
2000-09-19,14.52,14.9,14.5,14.9,7046.0
2000-09-20,14.69,14.7,14.5,14.5,5543.0
2000-09-21,14.66,14.9,14.54,14.6,5005.0
2000-09-22,14.55,14.66,14.52,14.6,2951.0
2000-09-25,14.52,14.85,14.45,14.5,2860.0
2000-09-26,14.63,14.88,14.47,14.47,2703.0
2000-09-27,14.89,14.9,14.6,14.6,2985.0
2000-09-28,14.61,14.89,14.6,14.89,2533.0
2000-09-29,14.68,14.68,14.52,14.55,1981.0
2000-10-09,14.55,14.67,14.46,14.67,2765.0
2000-10-10,14.8,14.84,14.48,14.6,2603.0
2000-10-11,14.75,14.97,14.7,14.85,3232.0
2000-10-12,14.62,14.77,14.6,14.75,3159.0
2000-10-13,14.6,14.68,14.5,14.62,3138.0
2000-10-16,14.6,14.75,14.51,14.55,2870.0
2000-10-17,14.54,14.62,14.5,14.6,1942.0
2000-10-18,14.87,14.95,14.55,14.55,4356.0
2000-10-19,14.75,14.87,14.7,14.86,2907.0
2000-10-20,14.91,14.95,14.51,14.57,4010.0
2000-10-23,15.05,15.1,14.81,14.97,4818.0
2000-10-24,15.37,15.6,14.51,15.05,14301.0
2000-10-25,15.37,15.65,15.25,15.47,5069.0
2000-10-26,15.55,16.15,15.4,15.4,17031.0
2000-10-27,15.36,15.69,15.31,15.6,4720.0
2000-10-30,15.16,15.53,15.15,15.51,4566.0
2000-10-31,15.01,15.3,14.99,15.18,3830.0
2000-11-01,15.19,15.25,14.91,15.02,3494.0
2000-11-02,15.1,15.3,15.02,15.02,3330.0
2000-11-03,15.17,15.23,15.05,15.15,3146.0
2000-11-06,15.31,15.5,15.18,15.18,4147.0
2000-11-07,15.13,15.4,15.1,15.37,3090.0
2000-11-08,15.3,15.4,15.13,15.13,3004.0
2000-11-09,15.33,15.5,15.24,15.32,5130.0
2000-11-10,15.6,15.71,15.36,15.45,9352.0
2000-11-13,15.88,16.01,15.61,15.61,19963.0
2000-11-14,15.86,15.98,15.65,15.81,7259.0
2000-11-15,15.58,16.0,15.52,15.86,9827.0
2000-11-16,15.77,15.85,15.58,15.58,6344.0
2000-11-17,15.61,15.85,15.57,15.73,6098.0
2000-11-20,16.11,16.11,15.56,15.59,15101.46
2000-11-21,16.03,16.44,16.0,16.2,11947.74
2000-11-22,16.0,16.15,15.85,16.0,6217.77
2000-11-23,16.05,16.3,15.96,16.02,8431.15
2000-11-24,15.59,16.2,15.5,16.15,9932.42
2000-11-27,15.6,15.65,15.37,15.45,6191.87
2000-11-28,15.64,15.7,15.58,15.6,4216.63
2000-11-29,15.5,15.65,15.4,15.64,4846.66
2000-11-30,15.43,15.5,15.31,15.5,4902.61
2000-12-01,15.45,15.5,15.3,15.43,5081.62
2000-12-04,15.41,15.49,15.31,15.47,4938.77
2000-12-05,15.56,15.65,15.35,15.42,4044.24
2000-12-06,15.2,15.65,15.1,15.59,5558.0
2000-12-07,15.2,15.36,15.15,15.2,3632.6
2000-12-08,15.18,15.28,15.1,15.25,3553.03
2000-12-11,14.98,15.19,14.95,15.18,4469.9
2000-12-12,15.01,15.04,14.88,14.98,3073.5
2000-12-13,14.99,15.1,14.96,15.03,3369.79
2000-12-14,15.02,15.1,14.99,15.0,2895.07
2000-12-15,14.96,15.14,14.95,15.01,2950.11
2000-12-18,14.95,15.0,14.74,14.9,3811.07
2000-12-19,15.21,15.23,14.88,15.0,7497.89
2000-12-20,15.19,15.33,14.92,15.26,4346.13
2000-12-21,15.16,15.4,15.09,15.15,6586.74
2000-12-22,15.05,15.2,14.95,15.1,8164.14
2000-12-25,14.82,15.1,14.78,15.1,7396.26
2000-12-26,15.01,15.1,14.77,14.8,11948.77
2000-12-27,14.88,15.02,14.85,15.0,6363.3
2000-12-28,15.0,15.2,14.8,14.9,6922.78
2000-12-29,15.42,15.52,14.99,15.05,9504.82
2001-01-02,15.74,15.92,15.42,15.42,15134.91
2001-01-03,16.01,16.1,15.75,15.85,33300.39
2001-01-04,16.0,16.22,15.85,16.07,26545.39
2001-01-05,16.3,16.44,15.91,16.0,30159.48
2001-01-08,15.92,16.43,15.82,16.3,27532.3
2001-01-09,16.12,16.35,15.7,15.88,22433.54
2001-01-10,16.14,16.38,16.0,16.19,13768.66
2001-01-11,16.11,16.35,16.07,16.14,17065.42
2001-01-12,16.24,16.37,16.0,16.05,16903.82
2001-01-15,15.55,16.23,15.51,16.21,13820.89
2001-01-16,15.68,15.88,15.3,15.48,9118.45
2001-01-17,15.78,15.9,15.46,15.68,5519.99
2001-01-18,15.99,16.1,15.61,15.77,7989.59
2001-01-19,16.08,16.18,16.0,16.02,7204.05
2001-02-05,15.58,16.07,15.58,15.8,4256.11
2001-02-06,15.6,15.62,15.11,15.58,4734.16
2001-02-07,15.46,15.7,15.25,15.6,1663.96
2001-02-08,15.12,15.6,15.1,15.46,2910.38
2001-02-09,15.36,15.43,15.12,15.12,2083.62
2001-02-12,15.28,15.35,15.16,15.35,2296.93
2001-02-13,15.44,15.64,15.23,15.27,2256.16
2001-02-14,15.36,15.52,15.26,15.4,1278.18
2001-02-15,15.48,15.5,15.29,15.37,2369.67
2001-02-16,15.34,15.4,15.2,15.31,2859.79
2001-02-19,15.74,15.79,15.27,15.3,4542.74
2001-02-20,15.59,15.88,15.5,15.8,3498.87
2001-02-21,15.98,16.1,15.5,15.55,21079.19
2001-02-22,16.04,16.1,15.55,16.0,11460.59
2001-02-23,16.18,16.19,15.85,15.98,10751.18
2001-02-26,16.12,16.2,16.05,16.2,5514.9
2001-02-27,16.2,16.25,16.08,16.11,8171.53
2001-02-28,16.2,16.25,16.02,16.19,6911.92
2001-03-01,16.41,16.41,16.11,16.12,13122.65
2001-03-02,16.46,16.73,16.36,16.41,19213.14
2001-03-05,16.5,16.71,16.45,16.5,16142.95
2001-03-06,17.0,17.12,16.39,16.58,42957.4
2001-03-07,16.99,17.2,16.86,17.0,23350.2
2001-03-08,16.98,17.1,16.7,16.92,18004.16
2001-03-09,17.57,17.66,17.0,17.0,79538.6
2001-03-12,17.96,18.08,17.55,18.0,100836.24
2001-03-13,17.86,18.24,17.6,18.24,54300.06
2001-03-14,17.87,18.0,17.7,17.8,26846.38
2001-03-15,18.28,18.39,17.85,17.85,45794.27
2001-03-16,18.08,18.36,17.86,18.21,30313.12
2001-03-19,18.28,18.29,17.9,18.07,26928.75
2001-03-20,18.98,19.0,18.28,18.3,41177.76
2001-03-21,19.0,19.22,18.69,19.01,26871.15
2001-03-22,18.95,19.24,18.67,19.18,25180.61
2001-03-23,18.33,18.99,18.2,18.88,41729.37
2001-03-26,18.85,18.95,18.13,18.3,26280.64
2001-03-27,18.89,19.1,18.6,18.9,17989.52
2001-03-28,18.62,18.98,18.5,18.89,16021.92
2001-03-29,18.5,18.85,18.3,18.57,23017.73
2001-03-30,18.7,18.7,18.35,18.48,10652.06
2001-04-02,18.79,18.9,18.51,18.68,16293.75
2001-04-03,18.63,18.82,18.55,18.8,9469.0
2001-04-04,18.3,18.61,18.18,18.6,16021.41
2001-04-05,18.77,18.78,18.2,18.2,11384.66
2001-04-06,18.66,18.85,18.5,18.85,6857.03
2001-04-09,18.78,18.96,18.6,18.61,7163.44
2001-04-10,18.7,18.86,18.58,18.86,7253.28
2001-04-11,19.04,19.15,18.74,18.74,28576.71
2001-04-12,18.99,19.18,18.72,19.1,14315.38
2001-04-13,18.89,19.05,18.7,19.04,12449.18
2001-04-16,18.9,19.0,18.6,18.89,19706.4
2001-04-17,18.78,18.98,18.63,18.92,9763.03
2001-04-18,18.67,18.88,18.6,18.7,10729.06
2001-04-19,18.56,18.8,18.4,18.64,9514.55
2001-04-20,18.41,18.8,18.4,18.6,10138.09
2001-04-23,18.5,18.58,18.22,18.42,10438.37
2001-04-24,18.76,18.89,18.55,18.55,8131.0
2001-04-25,18.3,18.89,18.2,18.88,6799.0
2001-04-26,18.18,18.5,18.03,18.25,7686.96
2001-04-27,18.29,18.48,18.1,18.15,9145.33
2001-04-30,18.29,18.46,18.18,18.46,3794.0
2001-05-08,18.5,18.68,18.15,18.18,7100.88
2001-05-09,18.38,18.55,18.2,18.45,4508.24
2001-05-10,18.36,18.6,18.2,18.38,5222.0
2001-05-11,18.27,18.58,18.12,18.45,3620.66
2001-05-14,18.48,18.59,18.23,18.27,18311.96
2001-05-15,18.5,18.6,18.25,18.55,7115.6
2001-05-16,18.88,19.0,18.3,18.5,25581.64
2001-05-17,19.02,19.25,18.8,18.9,40196.87
2001-05-18,19.08,19.15,18.86,19.02,18520.68
2001-05-21,19.14,19.38,18.97,19.2,23221.62
2001-05-22,18.85,19.37,18.6,19.15,23611.96
2001-05-23,18.54,19.0,18.3,19.0,14515.39
2001-05-24,18.38,18.6,18.2,18.59,14713.62
2001-05-25,18.44,18.7,18.3,18.38,6294.01
2001-05-28,18.3,18.53,18.1,18.49,7205.55
2001-05-29,18.7,18.98,18.45,18.45,16497.86
2001-05-30,18.87,18.98,18.55,18.8,12798.11
2001-05-31,18.78,19.15,18.6,18.9,14349.61
2001-06-01,18.68,18.8,18.39,18.77,17759.23
2001-06-04,18.73,18.8,18.59,18.7,42992.83
2001-06-05,12.07,12.45,12.0,12.3,30513.55
2001-06-06,12.16,12.17,11.75,12.07,26626.08
2001-06-07,12.08,12.19,11.95,12.18,11348.34
2001-06-08,11.93,12.18,11.85,12.11,10139.88
2001-06-11,11.75,11.93,11.48,11.93,24409.25
2001-06-12,11.83,11.98,11.5,11.6,20946.17
2001-06-13,11.76,11.87,11.55,11.85,11731.07
2001-06-14,11.51,11.74,11.49,11.74,11092.9
2001-06-15,11.49,11.5,11.33,11.5,14249.12
2001-06-18,11.29,11.49,11.05,11.49,14439.5
2001-06-19,11.34,11.48,11.05,11.2,11092.43
2001-06-20,11.38,11.4,11.01,11.4,5494.04
2001-06-21,11.58,11.59,11.28,11.38,7423.34
2001-06-22,11.59,11.68,11.45,11.58,8123.8
2001-06-25,11.76,11.77,11.45,11.59,16929.66
2001-06-26,11.78,11.85,11.55,11.77,15236.09
2001-06-27,11.61,11.8,11.46,11.8,9105.3
2001-06-28,11.39,11.62,11.36,11.61,8288.85
2001-06-29,11.63,11.68,11.35,11.35,11805.61
2001-07-02,11.58,11.65,11.4,11.65,4342.86
2001-07-03,11.61,11.75,11.4,11.6,4631.17
2001-07-04,11.64,11.71,11.48,11.6,12592.66
2001-07-05,11.56,11.69,11.35,11.43,10999.89
2001-07-06,11.37,11.48,11.34,11.42,3522.4
2001-07-09,11.25,11.45,11.18,11.4,6113.7
2001-07-10,11.49,11.54,11.2,11.25,11832.73
2001-07-11,11.49,11.63,11.33,11.49,19352.34
2001-07-12,11.84,11.9,11.49,11.49,98525.47
2001-07-13,11.64,11.92,11.55,11.83,12374.1
2001-07-16,11.3,11.8,11.25,11.7,17089.31
2001-07-17,11.26,11.45,11.17,11.3,9540.37
2001-07-18,11.28,11.3,11.23,11.25,3604.24
2001-07-19,11.18,11.25,11.1,11.25,11179.26
2001-07-20,11.51,11.66,11.15,11.15,27431.72
2001-07-23,11.49,11.66,11.4,11.51,11968.0
2001-07-24,11.2,11.45,11.03,11.45,29078.65
2001-07-25,11.33,11.43,11.12,11.2,24579.9
2001-07-26,11.24,11.3,11.16,11.3,16866.42
2001-07-27,11.2,11.44,11.16,11.35,4501.22
2001-07-30,10.67,11.29,10.51,11.2,13063.49
2001-07-31,10.3,10.8,10.2,10.65,11241.62
2001-08-01,10.85,10.88,10.22,10.38,37773.74
2001-08-02,10.7,10.95,10.36,10.95,6140.16
2001-08-03,10.71,10.8,10.55,10.72,4171.2
2001-08-06,10.49,10.78,10.28,10.71,4985.51
2001-08-07,10.82,10.83,10.3,10.5,10640.22
2001-08-08,10.78,11.2,10.7,10.91,11328.75
2001-08-09,11.08,11.1,10.75,10.75,12199.65
2001-08-10,11.09,11.21,11.0,11.1,13045.19
2001-08-13,10.97,11.19,10.93,11.12,8004.41
2001-08-14,10.78,11.04,10.7,11.02,6912.79
2001-08-15,10.8,10.98,10.68,10.77,3918.8
2001-08-16,10.79,10.9,10.48,10.9,5626.63
2001-08-17,10.78,10.89,10.5,10.75,5818.7
2001-08-20,10.74,10.8,10.51,10.8,2403.57
2001-08-21,10.67,10.76,10.51,10.6,1872.13
2001-08-22,10.58,10.7,10.5,10.7,3235.02
2001-08-23,10.48,10.59,10.4,10.5,2084.63
2001-08-24,10.67,10.75,10.4,10.5,10017.76
2001-08-27,10.23,10.66,10.21,10.66,11413.54
2001-08-28,10.1,10.2,9.88,10.16,14292.27
2001-08-29,10.1,10.4,10.05,10.2,10074.78
2001-08-30,10.04,10.15,10.0,10.1,6217.4
2001-08-31,9.95,10.09,9.91,9.98,25381.54
